Genus,Class,Family
Megalostoma,Dicotyledons,ACANTHACEAE
Megaskepasma,Dicotyledons,ACANTHACEAE
Melittacanthus,Dicotyledons,ACANTHACEAE
Mellera,Dicotyledons,ACANTHACEAE
Mendoncia,Dicotyledons,ACANTHACEAE
Metarungia,Dicotyledons,ACANTHACEAE
Mexacanthus,Dicotyledons,ACANTHACEAE
Meyenia,Dicotyledons,ACANTHACEAE
Micranthus,Dicotyledons,ACANTHACEAE
Microstrobilus,Dicotyledons,ACANTHACEAE
Mimulopsis,Dicotyledons,ACANTHACEAE
Mirandea,Dicotyledons,ACANTHACEAE
Monachochlamys,Dicotyledons,ACANTHACEAE
Monechma,Dicotyledons,ACANTHACEAE
Monothecium,Dicotyledons,ACANTHACEAE
Morsacanthus,Dicotyledons,ACANTHACEAE
Nelsonia,Dicotyledons,ACANTHACEAE
Neohallia,Dicotyledons,ACANTHACEAE
Neolindenia,Dicotyledons,ACANTHACEAE
Neozenkerina,Dicotyledons,ACANTHACEAE
Neriacanthus,Dicotyledons,ACANTHACEAE
Neuracanthus,Dicotyledons,ACANTHACEAE
Nicoteba,Dicotyledons,ACANTHACEAE
Nilgirianthus,Dicotyledons,ACANTHACEAE
Nomaphila,Dicotyledons,ACANTHACEAE
Nothoruellia,Dicotyledons,ACANTHACEAE
Odontonema,Dicotyledons,ACANTHACEAE
Odontonemella,Dicotyledons,ACANTHACEAE
Odontophyllum,Dicotyledons,ACANTHACEAE
Odontostigma,Dicotyledons,ACANTHACEAE
Onus,Dicotyledons,ACANTHACEAE
Onychacanthus,Dicotyledons,ACANTHACEAE
Ophiorrhiziphyllon,Dicotyledons,ACANTHACEAE
Oplonia,Dicotyledons,ACANTHACEAE
Oreacanthus,Dicotyledons,ACANTHACEAE
Oreothyrsus,Dicotyledons,ACANTHACEAE
Orophochilus,Dicotyledons,ACANTHACEAE
Orthotactus,Dicotyledons,ACANTHACEAE
Pachystachys,Dicotyledons,ACANTHACEAE
Pachystrobilus,Dicotyledons,ACANTHACEAE
Parabarleria,Dicotyledons,ACANTHACEAE
Parachampionella,Dicotyledons,ACANTHACEAE
Paragoldfussia,Dicotyledons,ACANTHACEAE
Paragutzlaffia,Dicotyledons,ACANTHACEAE
Parajusticia,Dicotyledons,ACANTHACEAE
Pararuellia,Dicotyledons,ACANTHACEAE
Parastrobilanthes,Dicotyledons,ACANTHACEAE
Parasympagis,Dicotyledons,ACANTHACEAE
Parasystasia,Dicotyledons,ACANTHACEAE
Paulowilhelmia,Dicotyledons,ACANTHACEAE
Pelecostemon,Dicotyledons,ACANTHACEAE
Pentstemonacanthus,Dicotyledons,ACANTHACEAE
Perenideboles,Dicotyledons,ACANTHACEAE
Periblema,Dicotyledons,ACANTHACEAE
Pericalypta,Dicotyledons,ACANTHACEAE
Periestes,Dicotyledons,ACANTHACEAE
Perilepta,Dicotyledons,ACANTHACEAE
Peristrophe,Dicotyledons,ACANTHACEAE
Petalanthera,Dicotyledons,ACANTHACEAE
Petalidium,Dicotyledons,ACANTHACEAE
Petracanthus,Dicotyledons,ACANTHACEAE
Phaulopsis,Dicotyledons,ACANTHACEAE
Phaylopsis,Dicotyledons,ACANTHACEAE
Phialacanthus,Dicotyledons,ACANTHACEAE
Phidiasia,Dicotyledons,ACANTHACEAE
Phillipsia,Dicotyledons,ACANTHACEAE
Phlebophyllum,Dicotyledons,ACANTHACEAE
Phlogacanthus,Dicotyledons,ACANTHACEAE
Physacanthus,Dicotyledons,ACANTHACEAE
Plaesianthera,Dicotyledons,ACANTHACEAE
Plagiacanthus,Dicotyledons,ACANTHACEAE
Plagiotheca,Dicotyledons,ACANTHACEAE
Plegmatolemma,Dicotyledons,ACANTHACEAE
Pleocaulus,Dicotyledons,ACANTHACEAE
Pleuroblepharis,Dicotyledons,ACANTHACEAE
Podorungia,Dicotyledons,ACANTHACEAE
Pogonospermum,Dicotyledons,ACANTHACEAE
Poikilacanthus,Dicotyledons,ACANTHACEAE
Polylychnis,Dicotyledons,ACANTHACEAE
Polythrix,Dicotyledons,ACANTHACEAE
Polytrema,Dicotyledons,ACANTHACEAE
Populina,Dicotyledons,ACANTHACEAE
Porphyrocoma,Dicotyledons,ACANTHACEAE
Pounguia,Dicotyledons,ACANTHACEAE
Pranceacanthus,Dicotyledons,ACANTHACEAE
Pringleophytum,Dicotyledons,ACANTHACEAE
Prionitis,Dicotyledons,ACANTHACEAE
Psacadocalymma,Dicotyledons,ACANTHACEAE
Psacadopaepale,Dicotyledons,ACANTHACEAE
Pseudacanthopale,Dicotyledons,ACANTHACEAE
Pseudaechmanthera,Dicotyledons,ACANTHACEAE
Pseuderanthemum,Dicotyledons,ACANTHACEAE
Pseudo-Barleria,Dicotyledons,ACANTHACEAE
Pseudobarleria,Dicotyledons,ACANTHACEAE
Pseudoblepharis,Dicotyledons,ACANTHACEAE
Pseudocalyx,Dicotyledons,ACANTHACEAE
Pseudodicliptera,Dicotyledons,ACANTHACEAE
Pseudoruellia,Dicotyledons,ACANTHACEAE
Pseudostenosiphonium,Dicotyledons,ACANTHACEAE
Psilanthele,Dicotyledons,ACANTHACEAE
Psiloesthes,Dicotyledons,ACANTHACEAE
Pteracanthus,Dicotyledons,ACANTHACEAE
Pteroptychia,Dicotyledons,ACANTHACEAE
Ptyssiglottis,Dicotyledons,ACANTHACEAE
Pulchranthus,Dicotyledons,ACANTHACEAE
Pupilla,Dicotyledons,ACANTHACEAE
Pyrrothrix,Dicotyledons,ACANTHACEAE
Ramusia,Dicotyledons,ACANTHACEAE
Razisea,Dicotyledons,ACANTHACEAE
Rhacodiscus,Dicotyledons,ACANTHACEAE
Rhaphidospora,Dicotyledons,ACANTHACEAE
Rhinacanthus,Dicotyledons,ACANTHACEAE
Rhiphidosperma,Dicotyledons,ACANTHACEAE
Rhombochlamys,Dicotyledons,ACANTHACEAE
Rhyticalymma,Dicotyledons,ACANTHACEAE
Rhytiglossa,Dicotyledons,ACANTHACEAE
Ritonia,Dicotyledons,ACANTHACEAE
Rodatia,Dicotyledons,ACANTHACEAE
Rostellaria,Dicotyledons,ACANTHACEAE
Rostellularia,Dicotyledons,ACANTHACEAE
Ruellia,Dicotyledons,ACANTHACEAE
Ruelliola,Dicotyledons,ACANTHACEAE
Ruelliopsis,Dicotyledons,ACANTHACEAE
Rungia,Dicotyledons,ACANTHACEAE
Ruspolia,Dicotyledons,ACANTHACEAE
Ruttya,Dicotyledons,ACANTHACEAE
Saglorithys,Dicotyledons,ACANTHACEAE
Saintpauliopsis,Dicotyledons,ACANTHACEAE
